Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2022-03-08,0.5,43.0,0.04,4.1,2.0
2022-03-09,0.7,46.0,0.04,10.0,1.0
2022-03-10,0.6,28.0,0.05,9.2,1.0
2022-03-11,0.6,45.0,0.05,6.9,0.0
2022-03-12,1.0,51.0,0.05,10.4,2.0
2022-03-13,1.5,44.0,0.05,12.9,2.0
2022-03-14,0.8,54.0,0.05,9.5,1.0
2022-03-15,0.9,50.0,0.05,9.2,1.0
2022-03-16,0.8,34.0,0.05,10.4,1.0
2022-03-17,0.6,44.0,0.05,5.1,1.0
2022-03-18,0.7,45.0,0.05,7.8,1.0
2022-03-19,1.1,50.0,0.05,10.0,2.0
2022-03-20,1.3,42.0,0.04,9.5,1.0
2022-03-21,0.6,17.0,0.05,9.0,0.0
2022-03-22,0.7,38.0,0.05,5.9,2.0
2022-03-23,0.7,45.0,0.05,3.7,1.0
2022-03-24,0.9,49.0,0.04,7.9,1.0
2022-03-25,1.0,50.0,0.04,7.8,2.0
2022-03-26,1.3,50.0,0.05,10.6,3.0
2022-03-27,1.3,30.0,0.05,10.0,1.0
2022-03-28,0.6,32.0,0.03,2.1,1.0
2022-03-29,0.5,30.0,0.04,5.4,0.0
2022-03-30,0.6,30.0,0.04,5.7,1.0
2022-03-31,0.6,29.0,0.04,5.6,1.0
2022-04-01,0.8,49.0,0.05,8.6,5.0
2022-04-02,1.1,44.0,0.04,8.1,2.0
2022-04-03,0.7,24.0,0.04,7.0,1.0
2022-04-04,0.6,28.0,0.05,7.7,1.0
2022-04-05,0.7,29.0,0.05,11.4,1.0
2022-04-06,0.5,33.0,0.05,9.4,1.0
2022-04-07,0.6,38.0,0.04,7.2,2.0
2022-04-08,0.8,45.0,0.05,11.9,4.0
2022-04-09,1.0,34.0,0.05,9.3,1.0
2022-04-10,0.3,19.0,0.05,9.1,1.0
2022-04-11,0.3,24.0,0.04,13.2,0.0
2022-04-12,0.2,8.0,0.05,12.4,0.0
2022-04-13,0.4,43.0,0.05,7.9,1.0
2022-04-14,0.6,49.0,0.05,17.2,1.0
2022-04-15,0.7,45.0,0.05,22.4,1.0
2022-04-16,0.8,35.0,0.05,21.8,2.0
2022-04-17,0.6,43.0,0.06,21.9,1.0
2022-04-18,0.9,45.0,0.06,20.4,1.0
