Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2022-04-30,0.38,27.5,0.04,4.2,0.4
2022-05-01,0.38,30.13,0.04,6.9,0.8
2022-05-02,0.39,32.77,0.04,4.5,0.9
2022-05-03,0.4,35.4,0.04,4.7,0.6
2022-05-04,0.6,37.2,0.02,6.1,1.2
2022-05-05,0.4,42.4,0.04,5.1,0.8
2022-05-06,0.5,40.2,0.02,5.5,1.1
2022-05-07,0.3,21.4,0.04,2.5,0.4
2022-05-08,0.4,18.1,0.04,1.8,0.5
2022-05-09,0.4,27.7,0.04,2.9,0.8
2022-05-10,0.4,26.8,0.04,3.6,0.4
2022-05-11,0.4,19.8,0.04,3.5,0.4
2022-05-12,0.3,23.7,0.04,4.5,0.5
2022-05-13,0.5,32.7,0.04,4.1,0.5
2022-05-14,0.4,31.4,0.03,2.5,1.0
2022-05-15,0.4,30.1,0.02,4.4,1.0
2022-05-16,0.4,24.0,0.04,2.6,0.6
2022-05-17,0.4,27.4,0.04,5.8,0.7
2022-05-18,0.4,23.4,0.04,6.2,0.4
2022-05-19,0.4,23.3,0.04,5.7,0.6
